exp run epoch epoch.duration
SAGEMAKER-ml-p3-2xlarge 1 1 00:00:15
SAGEMAKER-ml-p3-2xlarge 1 2 00:00:10
SAGEMAKER-ml-p3-2xlarge 1 3 00:00:11
SAGEMAKER-ml-p3-2xlarge 1 4 00:00:11
SAGEMAKER-ml-p3-2xlarge 1 5 00:00:10
SAGEMAKER-ml-p3-2xlarge 1 6 00:00:11
SAGEMAKER-ml-p3-2xlarge 1 7 00:00:11
SAGEMAKER-ml-p3-2xlarge 1 8 00:00:11
SAGEMAKER-ml-p3-2xlarge 1 9 00:00:11
SAGEMAKER-ml-p3-2xlarge 1 10 00:00:11
SAGEMAKER-ml-p3-2xlarge 2 1 00:00:20
SAGEMAKER-ml-p3-2xlarge 2 2 00:00:11
SAGEMAKER-ml-p3-2xlarge 2 3 00:00:11
SAGEMAKER-ml-p3-2xlarge 2 4 00:00:11
SAGEMAKER-ml-p3-2xlarge 2 5 00:00:11
SAGEMAKER-ml-p3-2xlarge 2 6 00:00:11
SAGEMAKER-ml-p3-2xlarge 2 7 00:00:11
SAGEMAKER-ml-p3-2xlarge 2 8 00:00:10
SAGEMAKER-ml-p3-2xlarge 2 9 00:00:11
SAGEMAKER-ml-p3-2xlarge 2 10 00:00:11
SAGEMAKER-ml-p3-2xlarge 3 1 00:00:16
SAGEMAKER-ml-p3-2xlarge 3 2 00:00:11
SAGEMAKER-ml-p3-2xlarge 3 3 00:00:10
SAGEMAKER-ml-p3-2xlarge 3 4 00:00:10
SAGEMAKER-ml-p3-2xlarge 3 5 00:00:11
SAGEMAKER-ml-p3-2xlarge 3 6 00:00:11
SAGEMAKER-ml-p3-2xlarge 3 7 00:00:10
SAGEMAKER-ml-p3-2xlarge 3 8 00:00:10
SAGEMAKER-ml-p3-2xlarge 3 9 00:00:11
SAGEMAKER-ml-p3-2xlarge 3 10 00:00:11
